Node1	Node2	Score
NDUFA9	NDUFA3	0.996
SPRY2	SRC	0.951
NDUFB9	NDUFA11	0.998
RPS8	RPL12	0.999
EDC4	LSM3	0.956
ICAM1	TNF	0.96
RPL35	RPL9	0.999
EP300	HDAC10	0.956
EIF3C	RPL23A	0.968
RPS27A	RPL23A	0.999
NDUFS5	NDUFA6	0.999
HEATR1	RPS14	0.98
HEATR1	RPS11	0.987
ITGB8	ITGA2	0.958
COX5B	ATP5PO	0.965
BMP2	NOG	0.995
FAU	RPL29	0.999
RPS15A	RPS8	0.999
VEGFA	SRC	0.987
CBL	SPRY1	0.975
NDUFB3	NDUFS5	0.999
OAS1	ISG20	0.972
RPL36	RPS27L	0.996
RPL32	FAU	0.999
MRPL34	MRPS21	0.979
RPL26L1	RPS24	0.998
RPL24	RPS27L	0.999
COMMD4	COMMD1	0.992
EIF3A	RPS9	0.983
TGFBR3	TGFB3	0.972
SEC61G	RPL13A	0.977
UQCR11	NDUFB5	0.955
RPL32	WDR31	0.951
GARS	MARS	0.984
IFITM3	IFITM2	0.988
MRPL27	MRPL40	0.999
ATP5MC1	ATP5ME	0.975
ITGA2	ITGB3	0.979
RPS15A	RPL11	0.999
LSM5	SNRPE	0.999
NDUFAB1	NDUFA2	0.999
IFIT3	STAT2	0.974
SEC61G	RPL11	0.997
MRPL11	MRPL40	0.998
NDUFS4	NDUFA3	0.998
SEC61G	RPL23A	0.996
IFI6	IFITM2	0.956
RPS25	RPS11	0.999
MX2	IRF9	0.965
CCND1	KAT2B	0.953
SNRPG	SNRPE	0.999
RPS11	RPS8	0.999
RPS9	RPL12	0.999
RPL36	RPL32	0.999
MYL6	TPM2	0.976
RPL22L1	RPL23A	0.997
TRIM21	IRF7	0.978
SNRPD2	SNRPF	0.999
RPL26L1	RPL34	0.999
DPY30	KMT2D	0.98
IFI35	IFIT3	0.992
RPS15A	RPL30	0.999
RPS27A	FAU	0.999
NDUFA1	UQCR10	0.982
RPL34	RPS15A	0.999
SF3B5	SNRPE	0.999
SF3B5	PPIH	0.996
SOD2	SOD1	0.998
ERH	SNRPD1	0.985
RPL32	RPS21	0.999
ATP5MG	ATP5MD	0.983
CBL	SPRY2	0.998
RPL21	RPS24	0.999
PSMB8	HLA-B	0.967
NDUFA9	NDUFS5	0.999
PLAUR	SERPINE2	0.958
SNRPF	SNRPD1	0.999
NDUFA9	NDUFB11	0.995
NDUFS6	NDUFA12	0.999
EIF3A	RPS27L	0.977
FAU	RPS29	0.999
SRP14	RPS27L	0.982
NDUFB10	COX6C	0.951
SRP14	RPS21	0.996
RPS24	RPL36AL	0.997
RPS16	RPS25	0.999
RPL35	RPL27A	0.999
RPS24	RPL9	0.999
OASL	STAT2	0.956
RPL26L1	RPL31	0.998
RPS19	RPL32	0.999
COX6C	UQCR10	0.972
ZNRD1	POLR2L	0.996
EIF3A	EIF3C	0.999
TRIM22	IRF9	0.958
RPL19	RPL34	0.999
BST2	IRF9	0.951
GFPT2	HK1	0.962
RBX1	POLR2L	0.963
NDUFA1	UQCR11	0.985
COX7C	UQCRQ	0.999
NDUFAB1	NDUFA12	0.999
FAU	RPL9	0.999
COX7C	ATP5MD	0.965
CYP51A1	SQLE	0.993
NDUFB3	NDUFB11	0.994
RPL19	RPS26	0.999
ATP5F1E	ATP5MF	0.998
NDUFA9	NDUFB10	0.999
CWC15	SNRPE	0.996
RNF169	UBA52	0.958
JAK1	PTPN11	0.988
SEC61B	RPL38	0.996
RPS16	RPLP1	0.999
RPS24	RPS27A	0.999
FOS	TNF	0.981
RPS21	RPS18	0.999
KAT2B	ENY2	0.963
ATP5MC3	ATP5ME	0.969
NDUFAB1	NDUFA4	0.981
RPL21	RPL23A	0.999
RPL26L1	RPS12	0.996
ATP5F1E	COX6C	0.963
RPS14	UBA52	0.999
POLR2F	GTF2H5	0.995
DUT	PPARA	0.978
MRPL27	MRPL11	0.999
MX2	IFITM1	0.968
RPS13	RPL21	0.999
RPS19	RPL22L1	0.997
NDUFS6	NDUFB6	0.999
RPS15A	RPLP2	0.999
COX6A1	UQCR10	0.962
ATP5F1E	ATP5PD	0.999
STAT2	IRF9	0.999
RPL9	RPL36AL	0.997
RPL27	RPS18	0.999
POLR2L	SNRPE	0.989
ATP5MG	ATP5PD	0.999
RPS8	RPS18	0.999
NDUFS4	NDUFB1	0.998
NDUFB7	ATP5ME	0.962
EIF3A	RPS21	0.989
NDUFAF6	NDUFAF2	0.969
RPS12	UBA52	0.999
HERC6	UBA7	0.974
RPL32	UBA52	0.999
RPS15	RPS24	0.999
NDUFB10	NDUFS5	0.999
RPLP1	RPS9	0.999
DNAJC19	PAM16	0.999
PIPOX	DDO	0.951
TRADD	TNF	0.999
GAB2	PTPN11	0.988
DDX58	STAT1	0.992
RPS16	RPL13A	0.999
IFI6	ISG20	0.961
RPL19	RPS29	0.999
RPL35	RPS29	0.999
UQCR11	UQCR10	0.999
RPL24	RPS8	0.999
MRPL22	MRPL57	0.983
ATP5PF	NDUFA6	0.965
OASL	IFI27	0.965
EIF3A	RPS11	0.99
RSAD2	MX1	0.997
RPS25	RPS27A	0.999
SEC61G	SRP14	0.964
CCND1	CDKN2C	0.985
UQCR10	UQCRHL	0.976
SEC61G	RPL39	0.998
LSM7	LSM6	0.999
CDK6	CCND1	0.999
RPL9	RPL39	0.999
HLA-C	HLA-B	0.976
SRP14	RPS9	0.996
TPT1	RPS29	0.958
RPL34	RPL37	0.999
RPS19	LTV1	0.996
MRPL17	MRPL16	0.998
SPTBN1	ANK2	0.983
MRPL13	MRPL40	0.998
NDUFA11	NDUFA6	0.999
ATP5MC3	ATP5PO	0.996
RPS16	RPL34	0.999
MRPL17	RPS18	0.966
RPL19	RPL23A	0.999
MRPL51	MRPS21	0.974
UQCRB	NDUFS4	0.988
EGR1	FOS	0.996
ISG20	IFITM1	0.969
NDUFA9	NDUFC2	0.997
NDUFS6	NDUFA3	0.998
RPL39L	RPS27L	0.993
RPL35	RPL13A	0.999
RPS27L	RPL39	0.998
ARPC3	ARPC1A	0.999
HAUS1	HAUS7	0.992
OASL	IFITM1	0.971
RPL27A	RPL39	0.999
MRPS14	MRPL24	0.995
IFITM2	IFITM1	0.983
COX5B	UQCRQ	0.998
CDK6	RUNX1	0.963
IL21R	JAK1	0.963
ATP5F1E	ATP5ME	0.999
RPS19	RPL36	0.999
RPL37A	RPL12	0.999
NDUFAB1	NDUFB6	0.999
UQCRQ	COX6C	0.995
RPS14	RPL27A	0.999
IFITM3	STAT2	0.95
NID2	HSPG2	0.991
NDUFS4	NDUFA12	0.999
RPL9	MRPL36	0.966
CD79B	CD22	0.977
RPL36	RPS21	0.999
RPL24	RPS18	0.999
OAS1	GBP2	0.951
RPL23	RPL9	0.999
RPL9	RPL39L	0.995
RPS21	RPS29	0.999
RPS27A	UBA52	0.999
RPS14	RPS27L	0.998
ERH	SNRPG	0.996
RPS19	FAU	0.999
RPL24	RPL13A	0.999
RPL34	RPS11	0.999
RPS11	RPL38	0.999
RPS16	RPS14	0.999
SRP14	RPL13A	0.952
RPS13	RPS21	0.999
LTV1	RPS21	0.993
MRPL27	MRPL54	0.997
RPL19	RPL13A	0.999
NDUFA2	NDUFA12	0.999
STAT1	MX2	0.975
RPL26L1	SRP14	0.981
RPL21	RPS27L	0.999
SNRPG	NOP10	0.954
RPL30	RPS27L	0.998
HERC5	MX2	0.98
RPL34	RPL36	0.999
FADS1	PPARA	0.966
RPS8	FAU	0.999
IFI35	MX1	0.989
POLA2	RPA4	0.966
EPN2	FCHO1	0.959
NOX1	CYBA	0.996
GAB2	PIK3R1	0.952
CXCL11	CXCL8	0.968
RPL23	RPL29	0.999
RPL13A	RPS26	0.999
NDUFB2	UQCRH	0.96
CXCL12	CXCL8	0.972
DYNC1LI2	DYNLT1	0.99
RPS19	RPS29	0.999
BIRC5	CENPH	0.969
RPL34	RPL37A	0.999
RPS15	RPL12	0.999
RPL24	RPS29	0.999
RPL36	RPL37	0.999
ATP5PF	ATP5MD	0.972
RPS13	RPLP2	0.999
SMURF1	UBA52	0.961
NDUFC1	NDUFA11	0.992
IFI6	IRF9	0.987
RPS16	SRP14	0.997
UQCR11	NDUFA2	0.983
IFI35	STAT2	0.966
RPL32	RPS27L	0.997
RPS12	RPL22L1	0.99
RPL37	RPLP2	0.999
HDAC10	KAT2B	0.966
NDUFAB1	NDUFB3	0.999
RPL26L1	RPLP2	0.999
RPL19	RPS24	0.999
RPS19	UBA52	0.999
RPS13	RPL36AL	0.996
RPL37	RPL22L1	0.996
NDUFA9	NDUFS6	0.999
UQCRQ	NDUFA3	0.957
NDUFA2	NDUFS5	0.999
ATP5PD	ATP5MD	0.955
RPS20	RPL38	0.999
NDUFB5	NDUFB11	0.998
NDUFC1	NDUFA2	0.999
RPL30	RPL39L	0.995
RPL19	RPS15A	0.999
RPL23	RPS8	0.999
MRPL51	MRPL36	0.995
IFIT3	IFITM1	0.977
UQCRQ	UQCRHL	0.983
RPS20	RPL37A	0.999
RPS9	RPL37A	0.999
RPS24	RPL39	0.999
IFIT3	IFI6	0.992
NR1H3	EP300	0.965
IFITM3	IRF7	0.964
RPL22L1	RPS29	0.997
RPL36AL	RPLP2	0.996
MRPL34	MRPL11	0.986
RPS24	FAU	0.999
RPL24	RPS27A	0.999
TNFRSF1B	TRADD	0.971
RPS11	RPL22L1	0.994
RPS15A	RPL39	0.999
HERC5	UBE2L6	0.994
RPL31	RPL22L1	0.997
CYBA	NOXA1	0.979
RPL19	RPL35	0.999
RPL9	RPS14	0.999
RPS20	RPL21	0.999
RPS9	UBA52	0.999
LRRC4	NTNG2	0.977
PRMT5	SNRPE	0.963
RPL26L1	RPL32	0.997
NDUFA2	NDUFB11	0.999
RPS19	RPL27A	0.999
EIF3A	RPS12	0.987
LAMTOR2	LAMTOR4	0.999
RPL39L	RPS29	0.997
SNRPD2	SNRPD1	0.999
SEC61B	RPS29	0.986
NDUFA1	NDUFS4	0.996
RPS19	RPS11	0.999
RPLP2	UBA52	0.999
RPS16	RPS27L	0.999
DUT	DTYMK	0.994
NDUFA3	NDUFA6	0.999
RPS19	RPS21	0.999
RPL31	RPS8	0.999
RPL37A	RPL23A	0.999
RPL27	RPL32	0.999
RPS13	EIF3C	0.981
NDUFC2	UQCRH	0.967
RPL11	RPL9	0.999
RPS20	RPL36AL	0.997
PSMA4	PSMB9	0.999
COX8A	NDUFA4	0.957
MRPL27	MRPL20	0.999
RPA3	RPA4	0.996
RPL23	RPL39L	0.995
COX5B	UQCRB	0.995
RPS20	RPL30	0.999
RPL22L1	UBA52	0.993
MRPL51	MRPL54	0.984
RPL9	UBA52	0.999
RPS27A	RPS27L	0.997
IPPK	IPMK	0.98
CHCHD1	MRPS21	0.984
RPS13	RPL12	0.999
PSMG2	PSMB3	0.973
RPL24	RPS15	0.999
PRMT5	SNRPD2	0.955
NDUFA9	NDUFA6	0.999
RPLP1	RPL37	0.999
DDX58	JAK1	0.95
RPL23A	UBA52	0.999
RPS15	UBA52	0.999
OAS1	IFI27	0.978
TRADD	RIPK3	0.968
RPL23	RPL13A	0.999
LSM5	LSM7	0.999
CMPK2	NME1	0.95
RPL35	FAU	0.999
RPS15A	RPS11	0.999
MRPL13	MRPL54	0.988
MRPL22	MRPL51	0.984
NDUFB2	NDUFA9	0.994
MRPL34	MRPL24	0.994
NDUFB7	NDUFC1	0.997
NDUFB7	NDUFB10	0.999
RPS13	RPL27	0.999
SRP14	RPL12	0.996
RPS27A	RPL36AL	0.998
NDUFB2	NDUFA1	0.998
RPL24	RPL37	0.999
RSAD2	USP18	0.962
CCND1	CKS1B	0.972
HDAC10	NCOR2	0.971
MRPL17	MRPL11	0.998
CERK	CERS2	0.961
ETS1	RUNX1	0.974
NDUFAB1	NDUFB1	0.998
RPL9	RPS21	0.999
NOTCH2	DLL1	0.966
RPL31	RPS19	0.999
RPL29	RPL22L1	0.997
EIF3C	RPS28	0.981
RSAD2	IFITM1	0.97
RPS20	RPS18	0.999
ANAPC10	UBE2C	0.994
RPL36AL	RPL23A	0.997
RPL31	RPL12	0.999
RPS8	RPL29	0.999
RPS15	RPL23A	0.999
EP300	NR4A1	0.955
MRPL16	MRPL41	0.998
SEC61G	RPS8	0.996
NDUFB2	NDUFS6	0.997
RPL13A	RPL9	0.999
RPS27A	RPL38	0.999
ATP5PF	UQCRQ	0.979
RPS13	RPL9	0.999
COX7A2	NDUFA4	0.951
PTGS2	CXCL8	0.958
NDUFB3	NDUFA11	0.997
CYP26B1	ALDH1A1	0.958
RPL19	RPS21	0.999
RPS8	RPL39L	0.996
NDUFA2	NDUFA6	0.999
MRPL16	MRPL40	0.999
ATP5MC3	ATP5MC1	0.999
RPL13A	RPL29	0.999
TNFAIP3	TNIP1	0.994
RPL34	RPL21	0.999
NDUFB2	NDUFA2	0.999
RPL36	UBA52	0.999
NDUFC1	NDUFB11	0.981
RPL11	RPL30	0.999
NDUFAB1	NDUFS5	0.999
NTN1	UNC5B	0.998
RPL23	RPS29	0.999
RPL24	RPL32	0.999
RPS27A	RPL29	0.999
RPS16	RPL30	0.999
NDUFB7	NDUFS6	0.999
RPS13	RPL24	0.999
NDUFB9	COX6C	0.954
EIF3A	RPS13	0.987
MOV10L1	HENMT1	0.96
IFIT3	OASL	0.995
EIF3A	RPS15	0.982
RPS20	RPS27A	0.999
CD22	LYN	0.987
SELE	CD44	0.989
RPL39L	RPS26	0.996
RPLP1	UBA52	0.999
SF3B6	SNRPF	0.971
RPL34	RPS13	0.999
RPL35	RPL29	0.999
RPS15	MRPS14	0.95
RPL32	RPL22L1	0.995
RPS16	UBA52	0.999
RPL35	RPL37A	0.999
SNRPG	SNRPD1	0.999
NDUFC1	NDUFA12	0.999
OAS2	IFI27	0.964
RPS8	RPL38	0.999
MRPL27	MRPL23	0.959
RPS19	RPL13A	0.999
UQCR10	NDUFA6	0.989
NDUFB1	NDUFA12	0.998
NDUFA3	NDUFB1	0.996
RPS24	RPL29	0.999
RPS16	RPS15	0.999
MRPL41	MRPL40	0.999
NDUFB10	NDUFB9	0.999
POLR2L	GTF2H5	0.997
RPL36AL	RPS21	0.996
RPS11	EIF3C	0.985
MRPL41	MRPL54	0.997
MRPL27	MRPS21	0.99
RPL32	RPL29	0.999
RPL27	RPS27A	0.999
RPL26L1	SEC61G	0.986
NDUFS6	NDUFS5	0.999
RPL12	RPS28	0.999
RPL24	RPLP2	0.999
RPL27	RPS9	0.999
RPS16	FAU	0.999
RPS13	SRP14	0.997
OASL	MX1	0.999
RPS25	RPL27	0.999
RPS21	RPL38	0.999
IFI35	IFITM3	0.967
RPLP1	FAU	0.999
RPL19	FAU	0.999
MRPS14	MRPL54	0.981
RPS11	RPL23A	0.999
ATP5F1E	NDUFA2	0.967
HIPK2	RUNX1	0.962
SERPINE1	TGFB3	0.962
PMAIP1	BCL2L11	0.983
SPRY2	PTPN11	0.975
RPL23	RPL23A	0.999
TXN	MSRB2	0.967
RPL31	RPS28	0.999
ATP5PD	ATP5MF	0.999
RPL32	RPS29	0.999
NDUFB3	NDUFB6	0.999
EP300	H2AFZ	0.971
SNRPD1	POLR2L	0.974
RPS12	RPL30	0.999
NDUFB7	NDUFB3	0.999
OAS2	RSAD2	0.992
OAS1	TRIM22	0.954
RPS25	RPL21	0.999
C9orf72	SMCR8	0.985
SDSL	SHMT2	0.952
MRPS14	CHCHD1	0.988
NDUFA9	NDUFA11	0.998
BMP4	SMURF1	0.951
SEMA7A	ITGA1	0.954
CCL1	CCL20	0.959
RPL30	RPL22L1	0.997
RPL11	RPS9	0.999
COX7A2	COX7C	0.995
EIF3C	RPS27L	0.965
ATP5F1E	ATP5MG	0.994
RPS11	RPL36AL	0.998
TRADD	STAT1	0.951
RPL36	RPL22L1	0.996
PSMA4	PSMG2	0.976
RPL27	RPS11	0.999
NDUFAB1	NDUFB10	0.999
PSMB8	UBA52	0.955
RPS19	RPS27A	0.999
OAS1	IFIT1	0.995
RPS16	RPL27	0.999
SEC61B	RPL13A	0.981
RPS24	RPS9	0.999
NDUFB9	NDUFB6	0.999
SNRPG	LSM3	0.999
RPS11	RPS9	0.999
RPL27	RPS15A	0.999
SECTM1	CD7	0.963
BOLA3	BOLA1	0.999
SEC61B	RPS9	0.997
MRPL13	MRPL11	0.999
RSAD2	IFIT1	0.997
NTN1	UNC5C	0.995
COX5B	NDUFA11	0.967
MRPL22	MRPL40	0.996
RPS15	RPL13A	0.999
RPL21	RPL9	0.999
PHGDH	PSAT1	0.999
PDGFB	PDGFRA	0.98
TIMM8A	TIMM10	0.999
PSME2	PSMA2	0.988
IFIT3	IRF7	0.994
RPL34	RPS15	0.999
MRPS34	MRPL57	0.971
NDUFA6	NDUFA4	0.999
SEC61B	SSR4	0.992
RPL35	RPL38	0.999
IL1RL1	IL33	0.999
TGFB2	VEGFA	0.953
TP53BP1	RPS27A	0.976
SOD2	GPX3	0.974
RPL36AL	RPS26	0.996
HDAC9	MEF2A	0.973
SEC61B	RPL36AL	0.988
POLR2I	GTF2H5	0.997
MRPL24	MRPL16	0.994
DDX58	TLR3	0.953
LIFR	CTF1	0.982
MRPL51	CHCHD1	0.987
IFIT3	MX1	0.994
SEC61G	RPL29	0.995
SEC61G	RPS9	0.996
NDUFS5	UQCR10	0.958
NDUFB2	UQCRQ	0.985
RPLP1	RPS18	0.999
RPL31	RPS18	0.999
RPL36	RPS18	0.999
RPLP1	RPS29	0.999
RPL22L1	RPL27A	0.995
NDUFB5	NDUFA12	0.999
RPL11	RPL12	0.999
RPL13A	UBA52	0.999
MRPL34	MRPL20	0.982
RPL11	RPL29	0.999
RPLP1	RPL22L1	0.996
SEMA3G	PLXNA1	0.964
SRP14	RPL36AL	0.989
SEC61G	RPL22L1	0.978
ICAM1	MSN	0.954
ATP5PF	ATP5PO	0.999
MRPL16	MRPL13	0.999
RPLP1	RPS27A	0.999
RPLP1	RPL39L	0.995
RPS16	HEATR1	0.981
EIF3A	RPS18	0.987
RPL26L1	RPS13	0.999
IFI35	IFI27	0.96
NDUFB7	NDUFA6	0.999
SEC61G	RPL38	0.998
IFI35	IFIT1	0.989
RPS16	RPS19	0.999
NEDD4L	SGK1	0.993
RPL36	RPL37A	0.999
DYNLL1	TCTEX1D2	0.962
RPL24	RPL36	0.999
UQCRH	NDUFA6	0.96
RPS13	RPS24	0.999
RSAD2	IRF7	0.995
NDUFB5	NDUFB10	0.999
MRPL57	MRPL20	0.986
PSMA3	PSME2	0.994
RPL21	RPL35	0.999
COX6C	ATP5MF	0.96
RPL37	RPL39L	0.996
RPL27A	UBA52	0.999
IFI6	BST2	0.963
LTV1	RPS28	0.998
DDX58	HERC5	0.983
OAS2	GBP1	0.973
JAK1	CSF2	0.95
TIMP3	ADAM17	0.993
RPL26L1	RPS14	0.999
REXO2	REXO1	0.964
SF3B6	SNRPD2	0.989
NDST1	GPC5	0.959
RPL19	SRP14	0.974
MST1R	MST1	0.998
NDUFB2	NDUFA4	0.975
ATP5MC3	ATP5MF	0.986
MRPL24	MRPS21	0.98
NEDD4L	RPS27A	0.963
OAS2	MX1	0.995
NDUFB11	NDUFA6	0.999
RPL32	RPS26	0.999
RPS11	RPL30	0.999
RPS15	RPS11	0.999
RPS15A	RPL22L1	0.991
RPS25	RPL11	0.999
RPS18	RPS28	0.999
RPS12	RPL27	0.999
NDUFB5	NDUFA4	0.979
RPLP2	RPS27L	0.999
RPS27A	RPS14	0.999
FBXL18	FBXL13	0.959
RPL39	UBA52	0.999
UQCR10	NDUFA12	0.986
CCS	ATOX1	0.979
LSM5	POLR2L	0.971
RPS19	SRP14	0.996
STAT1	IFNL1	0.956
RPS11	RPL11	0.999
NDUFB1	NDUFA4	0.965
RPS8	RPS21	0.999
RPS20	LTV1	0.993
ATP5PD	NDUFA12	0.963
SEC61B	RPL11	0.996
SEC61G	RPS18	0.996
RPS15	RPL38	0.999
HSCB	GRPEL2	0.952
RPL13A	RPL36AL	0.995
NDUFB6	NDUFS5	0.999
UQCR11	COX5B	0.986
DDX58	MX1	0.993
PRMT5	H2AFZ	0.966
RPS15	RPS15A	0.999
RPL29	RPL39	0.999
OAS1	IRF9	0.984
RPL34	RPL11	0.999
RPL24	RPS9	0.999
RPS12	FAU	0.999
SNRPD2	GEMIN6	0.964
RPL27	RPS28	0.999
OAS1	MX1	0.997
OASL	IFITM3	0.958
RPL26L1	SEC61B	0.985
LSM5	SNRPD1	0.999
NDUFB7	NDUFA1	0.995
NDUFA1	NDUFS5	0.999
RPS20	EIF3C	0.973
CYP51A1	HMGCS1	0.986
RPS20	RPL32	0.999
MRPL54	MRPL40	0.994
IFI35	PSMB8	0.96
MRPL13	MRPL57	0.983
RPL36	RPL38	0.999
RPL22L1	RPS26	0.995
PSMB8	PSMB9	0.999
WDR31	UBA52	0.956
UQCR11	NDUFA12	0.985
EFNB1	SRC	0.982
RPS16	RPL29	0.999
MRPL36	MRPL11	0.998
NDUFB9	NDUFB1	0.995
RPL21	RPL37A	0.999
RPL23	MRPL17	0.96
IFI6	OASL	0.991
VEGFA	CLU	0.962
NRCAM	ANK2	0.984
HSPG2	ITGA2	0.952
PSME2	PSMB9	0.995
RPS16	SEC61B	0.996
UBE2L6	IFIT1	0.971
SNRPG	LSM6	0.999
RPS16	RPS24	0.999
ANAPC11	UBE2C	0.999
RPS15A	RPS29	0.999
MRPL17	MRPL41	0.999
RPL21	RPL32	0.999
RPL27A	RPS26	0.999
MRPL24	MRPL11	0.999
NDUFS6	NDUFS4	0.999
RPL29	RPL37A	0.999
PSMA2	UBA52	0.996
GBP3	IRF7	0.953
KAT2B	USP22	0.987
NDUFB5	UQCRQ	0.99
RPL9	RPS26	0.999
RPL26L1	RPL35	0.999
RPL24	RPL21	0.999
RPLP1	RPS11	0.999
RPL37	RPL12	0.999
RPL19	RPL32	0.999
CSF2	TNF	0.956
RPL29	RPS27L	0.997
COX5B	UQCR10	0.994
MRPL27	MRPL41	0.999
RPL24	RPL39	0.999
RPL29	RPS18	0.999
NDUFB2	NDUFS5	0.999
LDLR	PCSK9	0.999
NDUFAB1	UQCR10	0.976
RPL13A	RPS14	0.999
RPL22L1	RPL38	0.997
NDUFC2	NDUFA3	0.997
RPL35	RPS27L	0.997
RPL31	RPL24	0.999
RPL23	RPS28	0.999
RPS15A	RPL35	0.999
CCL20	CXCL11	0.986
RPS19	RPL23	0.999
RPL26L1	RPL27A	0.999
RSAD2	IFITM2	0.954
MRPL36	CHCHD1	0.991
NDUFA9	NDUFB1	0.997
RPL26L1	RPS27L	0.996
RPL26L1	RPS9	0.999
NDUFS4	NDUFA4	0.963
RPS29	RPS28	0.999
RPS16	RPL9	0.999
RPL34	RPL30	0.999
RPL35	MRPL17	0.959
RPL37	RPS18	0.999
COX5B	COX8A	0.988
RPL37	FAU	0.999
PSMA4	PSME2	0.976
RPL34	RPL38	0.999
NDUFA1	UQCRH	0.973
POMC	SSTR2	0.957
TIMP1	VEGFA	0.973
CBL	LYN	0.979
RPL29	RPS26	0.999
RPS20	RPL19	0.999
RPL36	RPS15A	0.999
RPL21	RPL23	0.999
ITPR3	ANK2	0.95
ETS1	FOS	0.982
FAU	RPL27A	0.999
MUC4	MUC6	0.984
SNRPG	POLR2L	0.993
RPL31	RPL23	0.999
RPS15	RPS29	0.999
IRF7	IFIT1	0.992
RPS12	RPL13A	0.999
RPL11	RPS27A	0.999
RPS19	SEC61B	0.996
SNRPD1	PPIH	0.998
RPS20	RPL36	0.999
RPL36	RPS11	0.999
COX7C	COX5B	0.999
RPS13	RPS27L	0.999
FAU	EIF3C	0.982
IFI35	BST2	0.968
RPS19	RPL34	0.999
NDUFS6	UQCRH	0.981
HEATR1	RPS24	0.979
RPS16	RPS26	0.999
RPS20	RPL37	0.999
SEC61B	RPS12	0.996
SPEN	EP300	0.965
RPL24	RPL39L	0.994
IL18RAP	IL18	0.997
NDUFC2	NDUFB6	0.999
MRPL27	MRPL13	0.999
CBL	RPS27A	0.975
RPL27	RPLP2	0.999
RPS19	EIF3A	0.985
RPL26L1	FAU	0.998
NDUFS4	NDUFA6	0.999
RPL23	RPS9	0.999
RPL19	RPS8	0.999
SRP14	RPL23A	0.997
RPL35	RPL39L	0.996
RPL37	RPL9	0.999
UQCRB	UQCRHL	0.983
RPS24	RPS14	0.999
EIF3A	RPS27A	0.972
HDAC10	KAT2A	0.966
RPS20	RPS27L	0.999
SERPIND1	IGFBP1	0.957
RPL34	RPL39L	0.995
RPS20	RPL31	0.999
RPS12	RPL37A	0.999
RPS8	RPL32	0.999
ERH	SNRPE	0.997
RPS15A	RPL37	0.999
SRP14	RPL37A	0.996
PARD6A	F2RL2	0.96
RPL31	RPS15A	0.999
MRPL27	MRPL57	0.996
RPL27A	RPS29	0.999
RPL35	RPS8	0.999
RPL38	UBA52	0.999
RPL23	EIF3C	0.95
RPL34	RPS29	0.999
RSAD2	MX2	0.993
NDUFA2	COX6C	0.965
RPL9	RPS18	0.999
RPL39	RPS28	0.999
TRIM22	OASL	0.95
LSM5	SF3B5	0.997
RPS15A	UBA52	0.999
SRP14	RPS27A	0.959
NDUFC2	NDUFS5	0.999
NDUFAF2	NDUFB1	0.955
IL34	CSF1	0.974
MRPS34	CHCHD1	0.982
RPL32	RPS28	0.999
MRPL13	CHCHD1	0.986
SRP14	RPS26	0.996
SRP14	RPL39L	0.972
RPL27	RPS8	0.999
RPS19	RPS12	0.999
RPL27	TPT1	0.98
RPL31	RPL27A	0.999
RPL32	RPLP2	0.999
BICD2	DCTN1	0.978
NDUFA6	ATP5MF	0.953
RPL26L1	RPL27	0.999
PSMA2	PSMB8	0.999
RPS16	RPL24	0.999
ASNS	GARS	0.964
CD22	BCL6	0.954
UQCR11	NDUFB11	0.958
RPL19	RPL9	0.999
RPL34	FAU	0.999
RPL9	RPS27L	0.999
RPS19	RPL21	0.999
CDK6	CKS1B	0.963
MRPL16	MRPL54	0.991
RPL26L1	RPL22L1	0.993
RPS27A	RPLP2	0.997
RPS25	RPS29	0.999
RPL11	RPL39	0.999
NDUFC2	NDUFA6	0.999
HMGCS1	HMGCR	0.999
NDUFA1	NDUFA12	0.998
RPL23	RPS18	0.999
RPS20	RPL26L1	0.998
NDUFA12	NDUFA4	0.996
ATP5MD	ATP5PO	0.954
RPL34	RPL9	0.999
RPL32	RPL30	0.999
ATP5PF	ATP5MG	0.995
FAU	RPL39	0.999
COX5B	COX6C	0.999
NDUFC2	NDUFA11	0.998
ISG20	IRF9	0.956
NDUFB10	NDUFA4	0.975
WDR31	FAU	0.977
ACSL1	ELOVL6	0.95
NDUFB9	UQCR10	0.984
RPL27	SRP14	0.998
KAT2B	H2AFZ	0.97
JAK1	USP18	0.95
COX6C	ATP5PD	0.968
MEF2A	EP300	0.999
RPS12	RPS25	0.999
RPL39	RPS18	0.999
RPL24	RPL22L1	0.995
RSAD2	OASL	0.993
UQCRB	NDUFB6	0.971
RPS20	WDR31	0.951
RPL21	RPL36AL	0.997
RPL38	RPS26	0.999
DDX58	MX2	0.983
RPL37	RPL27A	0.999
RPL24	RPL27	0.999
MRPL34	MRPL17	0.995
SKI	NCOR2	0.952
NDUFB7	NDUFB6	0.999
COX5B	ATP5PD	0.971
COX6A1	COX6C	0.995
RPLP1	RPL11	0.999
MYLK	MYL6	0.991
RPS27A	RPS29	0.999
NDUFC1	UQCRB	0.97
RPS27A	RPL37A	0.999
NDUFB3	NDUFC2	0.998
RPL29	RPL27A	0.999
FAS	SRC	0.959
OASL	GBP2	0.953
RPS15A	RPL12	0.999
NDUFAF2	NDUFS4	0.97
RPS11	RPL39L	0.996
OAS2	BST2	0.964
RPL11	RPS26	0.999
RPL34	SEC61G	0.996
NDUFB7	COX7C	0.978
NDUFA11	UQCR10	0.96
SEC61B	RPL32	0.996
UQCR11	NDUFS5	0.989
